,Name,nodeECC,clusteringCOEF,eccentricityCENT,degreeCent,closenessCENT,betweenessCENT,eigenCENT
0,"Zagubica,  Zagubica Municipality",16,0.16666666666666666,0.0625,0.02531645569620253,0.12609736632083002,0.030173312368565297,0.004061596001371308
1,"Prisjan,  Pirot Administrative District",18,0.0,0.05555555555555555,0.006329113924050633,0.10057288351368555,0.0,0.0029667140977907465
2,"Godacica,  Kraljevo City",14,0.0,0.07142857142857142,0.012658227848101266,0.13871817383669885,0.02268438408795419,0.0033151908209823095
3,"Gornja Lisina,  Bosilegrad Municipality",17,0.0,0.058823529411764705,0.012658227848101266,0.0992462311557789,0.014513967582580015,0.004759662320409753
4,"Labukovo,  Svrljig Municipality",15,0.0,0.06666666666666667,0.0189873417721519,0.14602587800369685,0.07852613293025401,0.028767327188313516
5,"Rucici,  Gornji Milanovac Municipality",17,0.0,0.058823529411764705,0.012658227848101266,0.12144504227517294,0.03693947030906258,0.0003253416233874375
6,"Balajnac,  Despotovac Municipality",13,0.0,0.07692307692307693,0.02531645569620253,0.14629629629629629,0.07617505848441494,0.007936772396300753
7,"Batinac,  Cuprija Municipality",13,0.0,0.07692307692307693,0.0189873417721519,0.1533980582524272,0.03388577675593855,0.017500712619275948
8,"Resavica,  Despotovac Municipality",14,0.0,0.07142857142857142,0.012658227848101266,0.1373913043478261,0.014469670248959173,0.0035395227163549084
9,"Mirosaljci,  Lazarevac Urban Municipality",18,0.0,0.05555555555555555,0.0189873417721519,0.10661268556005399,0.007371595494925038,0.00021877672379216504
10,"Kalimance,  Vladicin Han Municipality",16,0.0,0.0625,0.02531645569620253,0.11951588502269289,0.060053138020642,0.09629012975641557
11,"Biljanovac,  Raska Municipality",15,0.0,0.06666666666666667,0.0189873417721519,0.14069456812110417,0.08579298361180526,0.011639779588183173
12,"Gornja Trnava,  Topola Municipality",15,0.0,0.06666666666666667,0.02531645569620253,0.1353898886032562,0.10033867307738335,0.0016803516615961297
13,"29,  Drmanovici",18,0.0,0.05555555555555555,0.012658227848101266,0.09943360604153556,0.0034131527318659463,0.00020433733485199598
14,"444,  Donje Tlamino",19,0.0,0.05263157894736842,0.012658227848101266,0.08705234159779614,0.0008398505737859121,0.0026921678755619806
15,"161,  Dubocka",16,0.0,0.0625,0.02531645569620253,0.1250989707046714,0.08287220312998256,0.001013447085692389
16,"259,  Novo Selo",17,0.0,0.058823529411764705,0.0189873417721519,0.12088752869166029,0.030339436300393142,0.01206449511746083
17,"Batrage,  Tutin Municipality",19,1.0,0.05263157894736842,0.012658227848101266,0.10108765195137556,0.0,0.0005380479676878179
18,"Brlog,  Pirot Administrative District",18,0.0,0.05555555555555555,0.012658227848101266,0.10070108349267048,0.012658227848101266,0.0031676062028443497
19,"21,  Kladnica",18,0.0,0.05555555555555555,0.0189873417721519,0.1069735951252539,0.021060131664177577,0.0005324287947565538
20,"Krivi Vir,  Boljevac Municipality",14,0.0,0.07142857142857142,0.0189873417721519,0.14548802946593,0.07490204232416892,0.006633004071838136
21,"234,  Saprance",19,0.0,0.05263157894736842,0.012658227848101266,0.09250585480093677,0.003943499956722772,0.005693162865238285
22,"396,  Miroc",18,0.0,0.05555555555555555,0.02531645569620253,0.09634146341463415,0.03982355145427647,0.00027970606542924303
23,"Katici,  Ivanjica Municipality",17,0.1,0.058823529411764705,0.03164556962025317,0.11782252050708426,0.10039519686824494,0.0016239201233961935
24,"35,  Minicevo",17,0.0,0.058823529411764705,0.0189873417721519,0.12460567823343849,0.07276017407678864,0.004070242211175658
25,"208,  Станишинци",14,0.0,0.07142857142857142,0.0189873417721519,0.15119617224880383,0.10868677972815963,0.026389704628140154
26,"225,  Marina Kutina",15,0.0,0.06666666666666667,0.0189873417721519,0.1349274124679761,0.07980572298259177,0.06997212068105628
27,"Milosevo,  Jagodina City",13,0.0,0.07692307692307693,0.012658227848101266,0.14389799635701275,0.052004287713576756,0.005785903542749653
28,"Zdrelo Spa,  66",15,0.0,0.06666666666666667,0.0189873417721519,0.13355874894336434,0.04860257434209287,0.0022716688760471976
29,"Пусто Поље,  Ибарска",16,0.0,0.0625,0.0189873417721519,0.13367174280879865,0.06634063564843122,0.004063515181758265
30,"Симе Марковића,  Veliki Borak",19,0.0,0.05263157894736842,0.012658227848101266,0.09962168978562422,0.0011690719987099893,9.982105343739728e-05
31,"162,  Cesljeva Bara",17,0.0,0.058823529411764705,0.0189873417721519,0.11245551601423487,0.013868426346451782,0.0004152467115135615
32,"376,  Malesevo",18,0.0,0.05555555555555555,0.0189873417721519,0.10561497326203209,0.008299319349154144,0.0004796158220444885
33,"Gradska,  Crna Trava Municipality",16,0.0,0.0625,0.0189873417721519,0.11634756995581738,0.03958313410574975,0.02184076808833881
34,"Naupare,  Rasina Administrative District",12,0.0,0.08333333333333333,0.02531645569620253,0.15612648221343872,0.07926297882041666,0.0837202251415786
35,"373,  Kisiljevo",18,0.0,0.05555555555555555,0.012658227848101266,0.10449735449735449,0.0005509419764035583,0.00015196325445338132
36,"226,  Crkvica",14,0.3,0.07142857142857142,0.03164556962025317,0.14442413162705667,0.12115653221211108,0.3819139860799829
37,"Vasilj,  Knjazevac Municipality",17,0.0,0.058823529411764705,0.012658227848101266,0.12238574748257165,0.01632374245732977,0.006866842963104445
38,"Ибарски пут,  Dudovica",18,0.0,0.05555555555555555,0.0189873417721519,0.11025819958129798,0.051642450307446394,0.00017722095601296073
39,"34,  Tekija",19,0.0,0.05263157894736842,0.012658227848101266,0.08802228412256267,0.006288801096508909,8.109113373725068e-05
40,"Velika Krusevica,  Rasina Administrative District",11,0.0,0.09090909090909091,0.0189873417721519,0.15815815815815815,0.0744726755596575,0.03261447957263815
41,"Igriste,  Kursumlija Municipality",15,0.0,0.06666666666666667,0.012658227848101266,0.14195867026055706,0.08669403064300443,0.06732114729210574
42,"177,  Lipovac",15,0.0,0.06666666666666667,0.012658227848101266,0.12762520193861066,0.012426481942793673,0.0006103176492155856
43,"Mackat,  Cajetina Municipality",18,0.1,0.05555555555555555,0.03164556962025317,0.10463576158940398,0.04276474045138794,0.0004061716424535822
44,"Buvce,  Lebane Municipality",15,1.0,0.06666666666666667,0.0189873417721519,0.1299342105263158,0.0,0.292938305692927
45,"211,  Ziljci",14,0.0,0.07142857142857142,0.02531645569620253,0.15105162523900573,0.10723894855982681,0.08174548459315316
46,"Leskovo,  Majdanpek Municipality",16,0.0,0.0625,0.02531645569620253,0.11987860394537178,0.03499991043810905,0.002480806523304709
47,"Livadje,  Brus Municipality",15,0.0,0.06666666666666667,0.0189873417721519,0.1420863309352518,0.13097190744183926,0.04151060712125525
48,"ОП-41,  Grobnice",19,0.0,0.05263157894736842,0.006329113924050633,0.08453718566078117,0.0,1.8891824902532423e-05
