,Longitude,Latitude,City name
0,21.771915,44.19627,"Zagubica,  Zagubica Municipality"
1,22.557563,43.076729,"Prisjan,  Pirot Administrative District"
2,20.856367,43.777767,"Godacica,  Kraljevo City"
3,22.362308,42.559731,"Gornja Lisina,  Bosilegrad Municipality"
4,21.932266,43.508242,"Labukovo,  Svrljig Municipality"
5,20.363809,44.115408,"Rucici,  Gornji Milanovac Municipality"
6,21.352847,44.088945,"Balajnac,  Despotovac Municipality"
7,21.42594,43.925052,"Batinac,  Cuprija Municipality"
8,21.589001,44.04526,"Resavica,  Despotovac Municipality"
9,20.406003,44.424105,"Mirosaljci,  Lazarevac Urban Municipality"
10,22.045194,42.72848,"Kalimance,  Vladicin Han Municipality"
11,20.668407,43.402958,"Biljanovac,  Raska Municipality"
12,20.766087,44.182039,"Gornja Trnava,  Topola Municipality"
13,19.828721,43.421018,"29,  Drmanovici"
14,22.419184,42.358096,"444,  Donje Tlamino"
15,21.379414,44.416409,"161,  Dubocka"
16,22.273851,43.233699,"259,  Novo Selo"
17,20.40398,42.936362,"Batrage,  Tutin Municipality"
18,22.798488,43.214694,"Brlog,  Pirot Administrative District"
19,20.042119,43.399974,"21,  Kladnica"
20,21.718226,43.839201,"Krivi Vir,  Boljevac Municipality"
21,21.891365,42.394186,"234,  Saprance"
22,22.263789,44.48049,"396,  Miroc"
23,20.05495,43.572007,"Katici,  Ivanjica Municipality"
24,22.298123,43.696797,"35,  Minicevo"
25,20.878752,43.505119,"208,  Станишинци"
26,22.024691,43.215249,"225,  Marina Kutina"
27,21.142728,44.091945,"Milosevo,  Jagodina City"
28,21.484116,44.308222,"Zdrelo Spa,  66"
29,20.611224,43.490317,"Пусто Поље,  Ибарска"
30,20.356213,44.557619,"Симе Марковића,  Veliki Borak"
31,21.467404,44.582647,"162,  Cesljeva Bara"
32,21.627339,44.619665,"376,  Malesevo"
33,22.403887,42.87907,"Gradska,  Crna Trava Municipality"
34,21.303882,43.490973,"Naupare,  Rasina Administrative District"
35,21.424722,44.729553,"373,  Kisiljevo"
36,21.685388,43.041599,"226,  Crkvica"
37,22.157452,43.563908,"Vasilj,  Knjazevac Municipality"
38,20.27338,44.284886,"Ибарски пут,  Dudovica"
39,22.317223,44.655199,"34,  Tekija"
40,21.302221,43.625795,"Velika Krusevica,  Rasina Administrative District"
41,21.129818,43.177979,"Igriste,  Kursumlija Municipality"
42,20.647222,44.036976,"177,  Lipovac"
43,19.774959,43.788551,"Mackat,  Cajetina Municipality"
44,21.695041,42.831455,"Buvce,  Lebane Municipality"
45,21.017485,43.380138,"211,  Ziljci"
46,21.943481,44.313239,"Leskovo,  Majdanpek Municipality"
47,20.894581,43.303619,"Livadje,  Brus Municipality"
48,19.720447,43.237364,"ОП-41,  Grobnice"
49,22.081852,43.919647,"Sarbanovac,  City of Bor"
50,22.010486,44.040107,"391,  Zlot"
51,20.361198,43.249402,"199,  Durice"
52,22.715261,43.056394,"Чиниглавци,  Ciniglavci"
53,20.907246,44.047865,"Bata Lakina,  Denino brdo"
54,21.269774,43.213037,"Barbatovac,  Blace Municipality"
55,21.518778,43.507586,"Јастребачка,  Veliki Siljegovac"
56,21.876001,42.969784,"39,  Donje Trnjane"
57,21.165277,43.516728,"207,  Mrmos"
58,21.776354,44.472234,"Voluja,  Kucevo Municipality"
59,21.571004,43.393571,"Klisurska,  Vukanja"
60,22.572779,44.592474,"35,  Kladovo"
61,22.158245,42.704093,"Belo Polje,  Surdulica Municipality"
62,19.919553,43.964238,"Месна заједница Трнава,  Trnava"
63,20.102757,43.869861,"23,  Gugalj"
64,19.340629,43.500631,"Месна заједница Саставци,  Zagradina"
65,22.042499,44.52272,"34,  Boljetin"
66,20.870459,44.368105,"147,  Glibovac"
67,22.296458,42.501815,"442,  Donja Ljubata"
68,22.498069,44.497643,"35,  Grabovica"
69,20.192151,43.251126,"Drazevice,  Sjenica Municipality"
70,21.932388,43.097472,"Маршала Тита,  Pecenjevce"
71,19.541205,43.833041,"Vitasi,  Градска општина Ужице"
72,20.2329,43.441414,"Donja Gledjica,  Gledjica"
73,20.724537,43.911412,"Knic,  Knic Municipality"
